timestamp,can_id,ecu,data,label,status,reason
1789616659.845854,0x100,Engine ECU,"[82, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616659.8965333,0x200,Brake ECU,"[0, 78, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616659.9472663,0x300,Steering ECU,"[49, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616659.9980292,0x400,Instrument Cluster ECU,"[40, 10, 40, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.0486555,0x100,Engine ECU,"[110, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.099196,0x200,Brake ECU,"[0, 95, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.149677,0x300,Steering ECU,"[50, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.200426,0x400,Instrument Cluster ECU,"[62, 10, 159, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.2509878,0x100,Engine ECU,"[104, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.3016443,0x200,Brake ECU,"[0, 99, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.3524482,0x300,Steering ECU,"[48, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.4029384,0x400,Instrument Cluster ECU,"[72, 13, 171, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.453863,0x100,Engine ECU,"[95, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.5046525,0x200,Brake ECU,"[0, 92, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.5554185,0x300,Steering ECU,"[45, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.6062117,0x400,Instrument Cluster ECU,"[100, 11, 252, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.65684,0x100,Engine ECU,"[87, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.7079065,0x200,Brake ECU,"[0, 67, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.7586412,0x300,Steering ECU,"[48, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.8098016,0x400,Instrument Cluster ECU,"[64, 15, 91, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616660.8606555,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.871725,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.882447,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.8929822,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.903628,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.9143589,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.925219,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.9358556,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.9469416,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.9574711,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616660.968145,0x100,Engine ECU,"[96, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.0189135,0x200,Brake ECU,"[0, 99, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.0697448,0x300,Steering ECU,"[47, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.1206963,0x400,Instrument Cluster ECU,"[82, 11, 229, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.1714373,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.1820903,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.1932974,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.203801,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2145586,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2256508,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2370632,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2475493,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2588656,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2695763,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.2804182,0x100,Engine ECU,"[118, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.330991,0x200,Brake ECU,"[0, 68, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.381869,0x300,Steering ECU,"[37, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.4327462,0x400,Instrument Cluster ECU,"[65, 15, 10, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.483743,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.4947588,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.5058112,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
